Ligand (Therapeutic),qid,Ligand ID,Comments
ACE2 ligands,,n/a,ACE2 ligands that block the site of viral spike protein interaction could offer anti-SARS-CoV-2 infection potential.
anakinra,Q415411,6972,"An approved IL-1 pathway blocking peptide, that has anti-inflammatory action."
ASC09F,,n/a,A combination drug containing ASC09 (a viral protease inhibitor) + ritonavir is an example of an existing HIV therapy being repurposed for COVID-19.
Baricitinib,Q4860707,7792,"Approved JAK1/2 inhibitor. AI predicts antiviral activity via inhibition of AAK1 which is an important regulator of clathrin-mediated endocytosis, so has potential to inhibit viral entry into host cells in addition to its potent anti-inflammatory efficacy. "
beta-D-N4-hydroxycytidine,,10735,"Preliminary evidence from a BioRxiv preprint (https://www.biorxiv.org/content/10.1101/2020.03.19.997890v1) indicate that NHC/EIDD-2801 exhibits broad spectrum antiviral activity against SARS-CoV-2, MERS-CoV, SARS-CoV, and related zoonotic group 2b or 2c Bat-CoVs. The potency of NHC/EIDD-2801 against multiple coronaviruses, its therapeutic efficacy, and oral bioavailability in vivo, all highlight its potential utility as an effective antiviral against SARS-CoV-2 and other future zoonotic coronaviruses."
bevacizumab,Q413299,6771,Approved anti-VEGFA mAb. Phase 2/3 NCT04275414 aims to determine if suppression of vascular permeability will reduce pulmonary edema in patients with severe/critical COVID-19.
brincidofovir,Q15411004,n/a,"Small-molecule nucleoside analogue antiviral drug that was developed to treat cytomegalovirus, adenovirus, smallpox, and ebolavirus infections. Potential against SARS-CoV-2 infection could be evaluated."
camostat,Q5026909,6432,Serine protease inhibitor with activity against the host TMPRSS2 protease that is exploited by SARS-CoV-2 to mediate viral entry.
Camrelizumab,Q60785565,9758,An anti-PD-1 checkpoiunt inhibitor approved in China as an immuno-oncology biologic. Being compared to thymosin for the prevention of sepsis in COVID-19 patients.
compound 11r,,10706,"This is a compound that inhibits the SARS-CoV main protease (Mpro), and has potential to inhibit the SARS-CoV-2 Mpro, structural similarities between the 2 enzymes permitting. X-ray structure of 11r bound to SARS-CoV Mpro is deposited with the RSCB Protein Databank (ID 5N5O)."
compound 13b,,10720,A more drug-like derivative of 11r (10706) that inhibits the SARS-CoV-2 main protease (Mpro) PMID: 32198291. Exhibits potential for direct delivery to the lungs via inhalation route.
cobicistat,Q5138908,7535,"darunavir: Antiretroviral, protease inhibitor. Cobicistat increases its bioavailability and half life. Phase 3 NCT04252274 for COVID-19"
eculizumab,Q421617,6884,Approved mAb that binds complement factor C5 and blocks membrane attack complex formation.
emapalumab,Q28209889,9295,"An approved anti-IFN_ mAb, which could target elevated cytokine production during COVID-19 infection."
Tenofovir/emtricitabine,Q2412859,n/a,NRTI/NtRTI anti-HIV combination that could be repurposed for COVID-19.
enoxaparin,Q416516,6811,"An approved anti-clotting agent. Given evidence of heparin as a potential attachment factor for the coronavirus, a trial to determine the efficacy of early treatment with enoxaparin in COVID-19 patients has been initiated in Italy (March 2020)."
favipiravir,,n/a,"Small-molecule nucleoside analogue antiviral drug with broad spectrum activity against RNA viruses. A generic version was authorised for marketing by the Chinese National Medical Products Administration in Feb 2020, and can be used for prevention and treatment of COVID-19. Two clinical studies are registered on ClinicalTrials.gov."
fingolimod,Q425137,2407,An approved S1P1 receptor inhibitor that has immunomodulatory/immunosuppresant actions. This could be applied to the management of the inflammatory aspects of COVID-19. Clinical efficacy will be evaluated in Phase 2 study NCT04280588.
Galidesivir,,n/a,"Viral RNA-dependent RNA polymerase inhibitor that was originally developed for HCV, EBV, Zika and Marburg virus infections, but also examined for activity against infection by other RNA viruses. Coverage expanded in 2020 to include infections by SARS-CoV-2."
GLS-5300,,n/a,A Phase 1 MERS vaccine.
hydroxychloroquine,Q421094,7198,"An existing antimalarial drug, with in vitro activity against SARS-CoV (PMID: 16640347), that is being repositioned to treat COVID-19. Preliminary evidence from a small cohort of COVID-19 patients suggests that a combination of hydroxychloroquine + the antibiotic azithromycin significantly reduces detectable viral RNA (compared to hydroxychloroquine alone or placebo; In press 17 March 2020 IJAA  DOI : 10.1016/j.ijantimicag.2020.105949). However, extreme caution must be taken when condisering using hydroxychloroquine as it has severe cardiac adverse effects, and in addition its distribution to lung tissue is unknown."
I-432,,10733,An in vitro tool compound; inhibitor of serine proteaseTMPRSS2
meplazumab,,n/a,"An anti-CD147 (basigin, BSG) mAb. SARS-CoV-2 may utilise CD147 as an additional entry receptor to infect host cells. Meplazumab can block the interaction between CD147 and SARS-CoV-2 spike protein (bioRxiv preprint article, Wang et al. (2020) https://doi.org/10.1101/2020.03.14.988345). Already under clinical evaluation in NCT04275245."
mucolytic drugs,,10692,Ambroxol is an approved mucolytic which has the potential to combat pulmonary congestion in numerous lung conditions.
otamixaban,,10732,"A direct serine protease factor Xa inhibitor, and failed anticoagulant candidate drug; predicted binding energy when virtually docked  with TRMPSS2; associated with bleeding-related adverse effects in clinical study."
PRD_002214,,10716,PRD_002214 is a viral main protease inhibitor. It has been crystalised in complex with the SARS-CoV-2 Mpro (RSCB Protein Databank ID 6LU7).
recombinant ACE2 protein (rhACE2),,n/a,NCT04287686 aims to determine if rhACE2 can act as a decoy for SARS-CoV-2 viruses via engagement of the virus's external spike protein.
recombinant coronavirus S (spike) protein,,n/a,Recombinant spike protein would be predicted to occupy the ACE2 binding site and out-compete S protein on live virus particles to reduce viral infection of host cells. Although note that phase 1 clinical trial NCT01376765 that was looking at SARS-CoV S protein was withdrawn.
recombinant human Type I  interferons,,n/a,"For example IFNalpha2a (Roferon A), IFNalpha2a (Pegasys) and others, which are already used as antiviral therapies could be applied to COVID-19. IFNs are being evaluated either alone or in various combinations with lopinavir/ritonavir and ribavirin"
REGN3051 and REGN3048,,n/a,A mixture of monoclonal antibodies that target the spike protein of MERS-CoV. Contingent upon similarities within the antigenic sites these may have potential to bind SARS-CoV-2. Progressed as Phase 1 anti-coronavirus clinical lead; NCT03301090 has been completed.
relacatib,,7862,Developed as a cathepsin K inhibitor but has activity against cathepsin L that may provide potential to block SARS-Cov-2 entry into host cells.
