item,itemLabel,itemDescription,country,countryLabel,valid_in_place,valid_in_placeLabel
Q85173855,2019–20 coronavirus outbreak data tables,Number of cases of coronavirus disease 2019 (COVID-19),,,,
Q85173855,2019–20 coronavirus outbreak data tables,Number of cases of coronavirus disease 2019 (COVID-19),,,,
Q87073833,travel restriction related to the 2019–20 coronavirus outbreak,restriction by countries over stopping of spread of a pandemic disease,,,,
Q87897344,Impact of the 2019–20 coronavirus pandemic on politics,,,,,
Q88924950,Q88924950,,Q252,Indonésia,,
Q88924975,Q88924975,,Q252,Indonésia,,
Q88925002,Q88925002,,Q252,Indonésia,,
Q88925023,Q88925023,,Q252,Indonésia,,
Q88925045,Q88925045,,Q252,Indonésia,,
Q88925071,Q88925071,,Q252,Indonésia,,
Q88937964,2020 coronavirus pandemic in Swiss canton AG,,,,,
Q89276946,2020 coronavirus pandemic in Yukon,,Q16,Canadá,Q2009,Yukon
Q89276965,2020 coronavirus pandemic in Newfoundland and Labrador,,,,Q2003,Terra Nova e Labrador
Q89277064,2020 coronavirus pandemic in Nauru,,,,Q697,Nauru
Q89277314,2020 coronavirus pandemic in Veneto,,,,Q1243,Vêneto
Q89277312,2020 coronavirus pandemic in Lombardy,,,,Q1210,Lombardia
Q89277316,2020 coronavirus pandemic in Nunavut,viral pandemic in Nunavut,,,Q2023,Nunavut
Q89277351,2020 coronavirus pandemic in Almaty,,,,Q35493,Almaty
Q89285861,2020 coronavirus pandemic in Friesland,viral outbreak in the province of Friesland in the Netherlands,Q55,Países Baixos,,
Q89285871,2020 coronavirus pandemic in Groningen,viral outbreak in the province of Groningen in the Netherlands,Q55,Países Baixos,,
Q89285878,2020 coronavirus pandemic in Drenthe,viral outbreak in the province of Drenthe in the Netherlands,Q55,Países Baixos,,
Q89286092,2020 coronavirus pandemic in Gelderland,viral outbreak in the province of Gelderland in the Netherlands,Q55,Países Baixos,,
Q89286604,2020 coronavirus pandemic in Noord-Holland,viral outbreak in the province of Noord-Holland in the Netherlands,Q55,Países Baixos,,
Q89286615,2020 coronavirus pandemic in Zuid-Holland,viral outbreak in the province of Zuid-Holland in the Netherlands,Q55,Países Baixos,,
Q89287975,2020 coronavirus pandemic in Zeeland,viral outbreak in the province of Zeeland in the Netherlands,Q55,Países Baixos,,
Q89287978,2020 coronavirus pandemic in Noord-Brabant,viral outbreak in the province of Noord-Brabant in the Netherlands,Q55,Países Baixos,,
Q89287980,2020 coronavirus pandemic in Flevoland,viral outbreak in the province of Flevoland in the Netherlands,Q55,Países Baixos,,
Q89287986,2020 coronavirus pandemic in Overijssel,viral outbreak in the province of Overijssel in the Netherlands,Q55,Países Baixos,,
Q89287984,2020 coronavirus pandemic in Limburg,viral outbreak in the province of Limburg in the Netherlands,Q55,Países Baixos,,
Q89287989,2020 coronavirus pandemic in Utrecht,viral outbreak in the province of Utrecht in the Netherlands,Q55,Países Baixos,,
Q89288696,2020 coronavirus pandemic in Aruba,viral outbreak in Aruba,Q21203,Aruba,,
Q89288702,2020 coronavirus pandemic in Bonaire,viral outbreak in Bonaire,Q55,Países Baixos,,
Q89288701,2020 coronavirus pandemic in Sint Maarten,viral outbreak in Sint Maarten,Q26273,São Martinho,,
Q89288704,2020 coronavirus pandemic in Saba,viral outbreak in Saba,Q55,Países Baixos,,
Q89368323,COVID-19 crisis 2020 at the GGD Drenthe,2020 coronavirus outbreak at the GGD Drenthe,Q55,Países Baixos,,
Q89368327,COVID-19 crisis 2020 at the GGD Fryslân,2020 coronavirus outbreak at the GGD Fryslân,Q55,Países Baixos,,
Q89368325,COVID-19 crisis 2020 at the GGD Flevoland,2020 coronavirus outbreak at the GGD Flevoland,Q55,Países Baixos,,
Q89368331,COVID-19 crisis 2020 at the GGD Gelderland-Zuid,2020 coronavirus outbreak at the GGD Gelderland-Zuid,Q55,Países Baixos,,
Q89368328,COVID-19 crisis 2020 at the GGD Gelderland-Midden,2020 coronavirus outbreak at the GGD Gelderland-Midden,Q55,Países Baixos,,
Q89368335,COVID-19 crisis 2020 at the GGD Groningen,2020 coronavirus outbreak at the GGD Groningen,Q55,Países Baixos,,
Q89368332,COVID-19 crisis 2020 at the GGD Noord- en Oost-Gelderland,2020 coronavirus outbreak at the GGD Noord- en Oost-Gelderland,Q55,Países Baixos,,
Q89368337,COVID-19 crisis 2020 at the GGD Limburg-Noord,2020 coronavirus outbreak at the GGD Limburg-Noord,Q55,Países Baixos,,
Q89368340,COVID-19 crisis 2020 at the GGD Zuid-Limburg,2020 coronavirus outbreak at the GGD Zuid-Limburg,Q55,Países Baixos,,
Q89368347,COVID-19 crisis 2020 at the GGD Brabant-Zuidoost,2020 coronavirus outbreak at the GGD Brabant-Zuidoost,Q55,Países Baixos,,
