Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Roivant Sciences,Treatment,Antibodies,Clinical,Phase II study started in April 2020,"Gimsilumab, anti-granulocyte-macrophage colony stimulating factor monoclonal",NCT04351243,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/14/2020
Generation Bio / Vir Biotechnology,Treatment,Antibodies,Pre-clinical,Unknown,Non-viral gene therapy to produce monoclonal antibodies,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Edesa Biotech / Light Chain Bioscience (NovImmune),Treatment,Antibodies,Pre-clinical,Unknown,"Monocloncal antibodies, TLR4 antagonist",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
University of Hong Kong (BMS),Treatment,Antibodies,Clinical,Phase II study not yet recruiting,"Opdivo (nivolumab), PD-1 blocking antibody","NCT04356508

NCT04333914 ",Unknown,,,"FDA-approved since 2014, approved to treat melanoma and squamous non-small cell lung cancer",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/27/2020
Atreca / BeiGene / IGM Biosciences,Treatment,Antibodies,Pre-clinical,Unknown,"Novel IgM and IgA antibodies 
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Ablexis / AlivaMab Discovery Services / Berkeley Lights Collaborate,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies,,Unknown,,,"N/A
",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Implicit Bioscience,Treatment,Antibodies,Clinical,Expanded access protocols,"IC14, recombinant chimeric anti-CD14 monoclonal antibody",NCT04346277,Unknown,,Acute Respiratory Distress Syndrome,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Numerous trials with Chinese research sponsors; Roche,Treatment,Antibodies,Clinical,Phase II/III studies recruiting April 2020,"Avastin (bevacizumab), vascular endothelial growth factor inhibitor","NCT04275414

NCT04305106

NCT04344782

",Unknown,,,"FDA-approved since 2004, approved to treat certain types of cancer",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/27/2020
Numerous trials with Chinese research sponsors,Treatment,Antibodies,Clinical,Phase II study not yet recruiting,PD-1 blocking antibody; Thymosin,"NCT04268537        

ChiCTR2000030028 ",Unknown,,,Unknown,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/27/2020
Centivax (Distributed Bio),Treatment,Antibodies,Pre-clinical,Unknown,Antibody,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/21/2020
Tang-Du Hospital,Treatment,Antibodies,Clinical,Phase II/III recruiting April 2020,"meplazumab, anti-CD147 antibody",NCT04275245,Unknown,medRxiv (https://doi.org/10.1101/2020.03.21.20040691),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/27/2020
