item,countryLabel,itemLabel
Q84055415,Finland,2020 COVID-19 pandemic in Finland
Q84104992,Italy,COVID-19 pandemic in Italy
Q86717788,Switzerland,2020 COVID-19 pandemic in Switzerland
Q86847911,Austria,2020 COVID-19 pandemic in Austria
Q84446340,Belgium,2020 COVID-19 pandemic in Belgium
Q87058723,Morocco,COVID-19 pandemic in Morocco
Q84081576,Sweden,COVID-19 pandemic in Sweden
Q86756826,Netherlands,2020 COVID-19 pandemic in the Netherlands
Q86597685,Denmark,COVID-19 pandemic in Denmark
Q83872271,mainland China,COVID-19 pandemic in mainland China
Q86948603,Portugal,2020 COVID-19 pandemic in Portugal
Q87116829,Egypt,COVID-19 pandemic in Egypt
Q87250695,Poland,2020 COVID-19 pandemic in Poland
Q87250860,Luxembourg,2020 COVID-19 pandemic in Luxembourg
Q87250930,Cameroon,2020 COVID-19 pandemic in Cameroon
Q87343682,Tunisia,2020 COVID-19 pandemic in Tunisia
Q87473205,Turkey,2020 COVID-19 pandemic in Turkey
Q87651970,Guinea,2020 COVID-19 pandemic in Guinea
Q87657486,Sudan,2020 COVID-19 pandemic in Sudan
Q87660365,Uruguay,2020 COVID-19 pandemic in Uruguay
Q87660693,Puerto Rico,COVID-19 pandemic in Puerto Rico
Q87665364,Burkina Faso,2020 COVID-19 pandemic in Burkina Faso
Q87704267,Ivory Coast,2020 COVID-19 pandemic in Ivory Coast
Q87706558,Democratic Republic of the Congo,2020 COVID-19 pandemic in the Democratic Republic of the Congo
Q87708719,Aruba,2020 COVID-19 pandemic in Aruba
Q87709900,Mauritania,COVID-19 pandemic in Mauritania
Q87709973,Eswatini,2020 COVID-19 pandemic in Eswatini
Q87714704,Rwanda,2020 COVID-19 pandemic in Rwanda
Q87718451,Nigeria,2020 COVID-19 pandemic in Nigeria
Q87729500,Seychelles,2020 COVID-19 pandemic in Seychelles
Q87729501,Namibia,2020 COVID-19 pandemic in Namibia
Q87742114,Republic of the Congo,2020 COVID-19 pandemic in the Republic of the Congo
Q87745903,Senegal,2020 COVID-19 pandemic in Senegal
Q87770645,Somalia,2020 COVID-19 pandemic in Somalia
Q87781572,Benin,2020 COVID-19 pandemic in Benin
Q87899016,The Gambia,2020 COVID-19 pandemic in the Gambia
Q87899022,Djibouti,2020 COVID-19 pandemic in Djibouti
Q87976629,Zambia,2020 COVID-19 pandemic in Zambia
Q87979033,Mauritius,2020 COVID-19 pandemic in Mauritius
Q88082639,Cape Verde,2020 COVID-19 pandemic in Cape Verde
Q88082809,Niger,2020 COVID-19 pandemic in Niger
Q88082922,Sint Maarten,2020 COVID-19 pandemic in Sint Maarten
Q88164033,Zimbabwe,2020 COVID-19 pandemic in Zimbabwe
Q88225303,Madagascar,2020 COVID-19 pandemic in Madagascar
Q88263719,Uganda,2020 COVID-19 pandemic in Uganda
Q88335426,Mozambique,2020 COVID-19 pandemic in Mozambique
Q88371105,Eritrea,2020 COVID-19 pandemic in Eritrea
Q88568089,Libya,2020 COVID-19 pandemic in Libya
Q88617000,Guinea-Bissau,2020 COVID-19 pandemic in Guinea-Bissau
Q87816112,American Samoa,COVID-19 pandemic in American Samoa
Q87816426,Northern Mariana Islands,2020 COVID-19 pandemic in the Northern Mariana Islands
Q89127366,Sierra Leone,2020 COVID-19 pandemic in Sierra Leone
Q89164046,Botswana,2020 COVID-19 pandemic in Botswana
Q89193856,Burundi,2020 COVID-19 pandemic in Burundi
Q89285378,Malawi,2020 COVID-19 pandemic in Malawi
Q89560617,South Sudan,2020 COVID-19 pandemic in South Sudan
Q89598747,São Tomé and Príncipe,2020 COVID-19 pandemic in São Tomé and Príncipe
Q89277288,Transnistria,2020 COVID-19 pandemic in Transnistria
Q89872880,Republic of Artsakh,COVID-19 pandemic in the Republic of Karabakh
Q95496311,United States of America,2020 COVID-19 pandemic in American detention centers
Q91024607,Lesotho,COVID-19 pandemic in Lesotho
Q92619508,Comoros,2020 coronavirus pandemic in the Comoros
Q85876114,Iran,2020 COVID-19 pandemic in Iran
Q87070975,Israel,2020 COVID-19 pandemic in Israel
Q83873573,Nepal,COVID-19 pandemic in Nepal
Q83873556,Malaysia,2020 COVID-19 pandemic in Malaysia
Q83873566,Thailand,2020 COVID-19 pandemic in Thailand
Q83873593,France,COVID-19 pandemic in France
Q86733728,Iraq,COVID-19 pandemic in Iraq
Q83889114,Sri Lanka,COVID-19 pandemic in Sri Lanka
Q83889294,Germany,2020 COVID-19 pandemic in Germany
Q84167106,United Kingdom,COVID-19 pandemic in the United Kingdom
Q87068864,Greece,2020 COVID-19 pandemic in Greece
Q86597695,Brazil,COVID-19 pandemic in Brazil
Q86628344,Mexico,2020 COVID-19 pandemic in Mexico
Q87186117,Saudi Arabia,2020 COVID-19 pandemic in Saudi Arabia
Q87245450,Lebanon,2020 COVID-19 pandemic in Lebanon
Q87250691,Kuwait,2020 COVID-19 pandemic in Kuwait
Q87250713,Ecuador,2020 COVID-19 pandemic in Ecuador
Q87454162,Oman,COVID-19 pandemic in Oman
Q87477462,Costa Rica,COVID-19 pandemic in Costa Rica
Q87477841,Panama,COVID-19 pandemic in Panama
Q87480220,Bolivia,COVID-19 pandemic in Bolivia
Q87483673,Colombia,2020 COVID-19 pandemic in Colombia
Q87563855,Dominican Republic,2020 COVID-19 pandemic in the Dominican Republic
Q87589148,Jordan,2020 COVID-19 pandemic in Jordan
Q87589392,Honduras,COVID-19 pandemic in Honduras
Q87610822,Jamaica,2020 COVID-19 pandemic in Jamaica
Q87652000,Pakistan,COVID-19 pandemic in Pakistan
Q87662895,Maldives,COVID-19 pandemic in the Maldives
