item,itemLabel,countryid,Country
Q85876114,2020 coronavirus pandemic in Iran,Q794,Iran
Q83873556,2020 coronavirus pandemic in Malaysia,Q833,Malaysia
Q83873573,2019–20 coronavirus outbreak in Nepal,Q837,Nepal
Q86733728,2020 coronavirus pandemic in Iraq,Q796,Iraq
Q87070975,2020 coronavirus pandemic in Israel,Q801,Israel
Q87186117,2020 coronavirus pandemic in Saudi Arabia,Q851,Saudi Arabia
Q87250713,2020 coronavirus pandemic in Ecuador,Q736,Ecuador
Q87250803,2020 coronavirus pandemic in New Zealand,Q664,New Zealand
Q87245450,2020 coronavirus pandemic in Lebanon,Q822,Lebanon
Q87454162,2020 coronavirus pandemic in Oman,Q842,Oman
Q87480220,2020 coronavirus pandemic in Bolivia,Q750,Bolivia
Q87477462,2020 coronavirus pandemic in Costa Rica,Q800,Costa Rica
Q87589148,2020 coronavirus pandemic in Jordan,Q810,Jordan
Q87483673,2020 coronavirus pandemic in Colombia,Q739,Colombia
Q87563855,2020 coronavirus pandemic in the Dominican Republic,Q786,Dominican Republic
Q87589392,2020 coronavirus pandemic in Honduras,Q783,Honduras
Q87610822,2020 coronavirus pandemic in Jamaica,Q766,Jamaica
Q87652000,2020 coronavirus pandemic in Pakistan,Q843,Pakistan
Q87589123,2020 coronavirus pandemic in Paraguay,Q733,Paraguay
Q87652010,2020 coronavirus pandemic in Venezuela,Q717,Venezuela
Q87659698,2020 coronavirus pandemic in Guyana,Q734,Guyana
Q87662895,2020 coronavirus pandemic in the Maldives,Q826,Maldives
Q87708832,2020 coronavirus pandemic in Mongolia,Q711,Mongolia
Q87707727,2020 coronavirus pandemic in Saint Lucia,Q760,Saint Lucia
Q87694131,2020 coronavirus pandemic in Trinidad and Tobago,Q754,Trinidad and Tobago
Q87687648,2020 coronavirus pandemic in Saint Vincent and the Grenadines,Q757,Saint Vincent and the Grenadines
Q87669612,2020 coronavirus pandemic in Guatemala,Q774,Guatemala
Q87708331,2020 coronavirus pandemic in Antigua and Barbuda,Q781,Antigua and Barbuda
Q87733671,2020 coronavirus pandemic in Qatar,Q846,Qatar
Q87755488,2020 coronavirus pandemic in the Bahamas,Q778,The Bahamas
