#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types
2209230	25898	817	117406	107267	-	-	RCHY1	CAMK2D	ARNIP|CHIMP|PIRH2|PRO1996|RNF199|ZCHY|ZNF363	CAMKD	Affinity Capture-Western	physical	Ma-Lauer Y (2016)	PUBMED:27519799	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96PM5	-	NP_056251|NP_001265468|NP_001265467|NP_001265466|NP_001265465|NP_001009922	Q13557	E9PF82|A0A024RDK3|D6R938	NP_001308519|NP_001308518|NP_001308511|NP_001308510|NP_001308513|NP_001308512|NP_001308515|NP_001308514|NP_001308517|NP_001308516|NP_001308498|NP_001308499|NP_001308495|NP_001308496|NP_001308497|NP_742113|NP_742112|NP_001212|NP_001308508|NP_001308509|NP_001308506|NP_001308507|NP_001308504|NP_001308505|NP_001308502|NP_001308503|NP_001308500|NP_001308501|NP_001308520|NP_742125|NP_742126|NP_742127	-	-	-	-	-	-
2652341	43740570	8546	4383845	114116	GU280_gp04	-	E	AP3B1	env|envelope|SARS-CoV2 E|E protein|emp|SARS-CoV-2 E|VEMP_WCPV	ADTB3|ADTB3A|HPS|HPS2|PE	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.963550095	-	Average Spectral Counts: 4.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.963550095|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC4	-	YP_009724392	O00203	-	NP_001258698|NP_003655	-	-	-	-	-	-
2652342	43740570	23476	4383845	117036	GU280_gp04	-	E	BRD4	env|envelope|SARS-CoV2 E|E protein|emp|SARS-CoV-2 E|VEMP_WCPV	CAP|HUNK1|HUNKI|MCAP	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.97848835	-	Average Spectral Counts: 2.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.97848835|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC4	-	YP_009724392	O60885	-	NP_001317313|NP_490597|NP_055114	-	-	-	-	-	-
2652343	43740570	6046	4383845	111973	GU280_gp04	DADB-17J1.3	E	BRD2	env|envelope|SARS-CoV2 E|E protein|emp|SARS-CoV-2 E|VEMP_WCPV	D6S113E|FSH|FSRG1|NAT|RING3|RNF3	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.906592876	-	Average Spectral Counts: 7|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.906592876|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC4	-	YP_009724392	P25440	X5CF57|A0A024RCR5	NP_001186384|NP_005095|NP_001278915|NP_001106653|NP_001186385	-	-	-	-	-	-
2652344	43740570	10283	4383845	115572	GU280_gp04	UNQ438/PRO871	E	CWC27	env|envelope|SARS-CoV2 E|E protein|emp|SARS-CoV-2 E|VEMP_WCPV	NY-CO-10|SDCCAG10	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.89310916	-	Average Spectral Counts: 2.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.89310916|SAINTexpress BFDR: 0.03	-	BIOGRID	P0DTC4	-	YP_009724392	Q6UX04	D6REK3	NP_001284574|NP_005860|NP_001284573	-	-	-	-	-	-
2652345	43740570	124245	4383845	125858	GU280_gp04	-	E	ZC3H18	env|envelope|SARS-CoV2 E|E protein|emp|SARS-CoV-2 E|VEMP_WCPV	NHN1	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.796415039	-	Average Spectral Counts: 2.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.796415039|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC4	-	YP_009724392	Q86VM9	B4DTK7|E7ERS3	NP_653205|NP_001281269	-	-	-	-	-	-
2652346	43740570	57153	4383845	121410	GU280_gp04	PSEC0210	E	SLC44A2	env|envelope|SARS-CoV2 E|E protein|emp|SARS-CoV-2 E|VEMP_WCPV	CTL2|PP1292	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.950342834	-	Average Spectral Counts: 2.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.950342834|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC4	-	YP_009724392	Q8IWA5	-	NP_001138528|NP_065161	-	-	-	-	-	-
2652347	43740571	9512	4383846	114889	GU280_gp05	-	M	PMPCB	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	Beta-MPP|MPP11|MPPB|MPPP52|P-52	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.985120198	-	Average Spectral Counts: 9.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.985120198|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	O75439	B3KM34|Q96CP5	NP_004270	-	-	-	-	-	-
2652348	43740571	10897	4383846	116103	GU280_gp05	-	M	YIF1A	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	54TM|FinGER7|YIF1|YIF1P	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.856000835	-	Average Spectral Counts: 2.33|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.856000835|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	O95070	A6NGW1|A8K509	NP_065203|NP_001287790	-	-	-	-	-	-
2652349	43740571	481	4383846	106971	GU280_gp05	-	M	ATP1B1	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	ATP1B	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.817625601	-	Average Spectral Counts: 3.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.817625601|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	P05026	A3KLL5	NP_001668	-	-	-	-	-	-
2652350	43740571	34	4383846	106552	GU280_gp05	RP4-682C21.1	M	ACADM	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_WCPV	ACAD1|MCAD|MCADH	Affinity Capture-MS	physical	Gordon DE (2020)	DOI:10.1101/2020.03.22.002386	2697049	9606	High Throughput	0.724348569	-	Average Spectral Counts: 2.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.724348569|SAINTexpress BFDR: 0	-	BIOGRID	P0DTC5	-	YP_009724393	P11310	Q5HYG7|B4DJE7|Q5T4U5|B7Z9I1	NP_001272971|NP_001272973|NP_001272972|NP_001120800|NP_000007	-	-	-	-	-	-
